id_puesto,titulo_puesto,descripcion_puesto,area_del_puesto,modalidad_de_trabajo,horas_semanales,fecha_inicio,duracion_del_puesto,sueldo_aproximado
PSTFIS001,Asistente de laboratorio físico,"Apoyo en el montaje de experimentos, registro de datos y análisis básico.",Investigación y Desarrollo,Presencial,20,2025-08-05,16,1100
PSTFIS002,Auxiliar en análisis de datos experimentales,"Procesamiento de datos físicos con Python y herramientas estadísticas.",Ciencia de Datos,Remoto,15,2025-09-01,12,950
PSTFIS003,Investigador Junior en Física Aplicada,"Colaboración en proyectos sobre materiales y óptica.",Investigación Científica,Híbrido,25,2025-08-20,24,1500
PSTFIS004,Monitor de prácticas de Física,"Apoyo a docentes durante prácticas de laboratorio universitarias.",Educación y Formación,Presencial,10,2025-09-10,16,600
PSTFIS005,Asistente en simulación computacional,"Creación y análisis de modelos físicos usando MATLAB y Python.",Tecnología e Ingeniería,Remoto,20,2025-08-01,20,1300
PSTFIS006,Apoyo en física médica,"Colaboración en la calibración de equipos y estudios dosimétricos.",Salud y Medicina,Presencial,25,2025-09-15,12,1450
PSTFIS007,Becario en física de partículas,"Apoyo en revisión bibliográfica, análisis teórico y simulaciones básicas.",Física Teórica,Híbrido,20,2025-08-12,24,1200
PSTFIS008,Divulgador científico,"Redacción de artículos y elaboración de material audiovisual sobre conceptos físicos.",Comunicación Científica,Remoto,15,2025-07-25,8,800
PSTFIS009,Modelador climático junior,"Asistencia en modelos físicos para predicción del clima.",Medio Ambiente,Remoto,20,2025-09-05,18,1350
PSTFIS010,Auxiliar en proyectos de energías renovables,"Evaluación de eficiencia de sistemas solares y eólicos.",Energía y Recursos Naturales,Presencial,30,2025-08-10,20,1700
PSTQUI001,Asistente de laboratorio químico,"Preparación de reactivos, manejo de instrumentos y control de calidad en experimentos.",Investigación y Desarrollo,Presencial,20,2025-08-10,20,1150
PSTQUI002,Analista de calidad junior,"Realización de pruebas de control de calidad en productos farmacéuticos.",Industria Farmacéutica,Presencial,30,2025-07-15,16,1450
PSTQUI003,Técnico en cromatografía,"Asistencia en análisis de muestras usando HPLC y GC.",Análisis Clínico,Híbrido,25,2025-08-01,12,1350
PSTQUI004,Auxiliar de síntesis orgánica,"Apoyo en procesos de síntesis y purificación de compuestos orgánicos.",Química Orgánica,Presencial,20,2025-08-20,16,1200
PSTQUI005,Investigador junior en química ambiental,"Recolección y análisis de muestras de agua y suelo para estudios de contaminación.",Medio Ambiente,Remoto,15,2025-09-05,24,1250
PSTQUI006,Formulador de productos de limpieza,"Colaboración en el desarrollo de nuevas fórmulas para detergentes y desinfectantes.",Industria Química,Híbrido,30,2025-08-12,20,1550
PSTQUI007,Divulgador científico en química,"Creación de contenido sobre experimentos y conceptos químicos para redes y talleres.",Comunicación Científica,Remoto,15,2025-07-22,8,800
PSTQUI008,Analista en laboratorio de alimentos,"Determinación de composición química y aditivos en alimentos procesados.",Industrias Alimentarias,Presencial,25,2025-08-15,18,1400
PSTQUI009,Asistente en control de calidad de cosméticos,"Ejecución de pruebas químicas y físicas en productos de belleza y cuidado personal.",Cosmetología Química,Presencial,20,2025-09-01,12,1100
PSTQUI010,Químico forense junior,"Análisis de evidencias en laboratorio con técnicas espectroscópicas y químicas.",Criminalística,Presencial,30,2025-08-18,16,1600
PSTMAT001,Asistente de modelado matemático,"Apoyo en construcción y simulación de modelos aplicados en ingeniería y economía.",Investigación y Desarrollo,Híbrido,20,2025-08-10,20,1300
PSTMAT002,Tutor de matemáticas,"Dictado de clases personalizadas a estudiantes de secundaria y primeros ciclos universitarios.",Educación y Formación,Remoto,15,2025-07-22,12,800
PSTMAT003,Analista de optimización logística,"Análisis de rutas y tiempos para mejorar la eficiencia en cadenas de suministro.",Logística y Transporte,Presencial,25,2025-08-05,16,1400
PSTMAT004,Investigador junior en teoría de números,"Participación en proyectos de investigación pura con herramientas algebraicas.",Matemáticas Puras,Remoto,20,2025-08-15,24,1250
PSTMAT005,Asistente en análisis actuarial,"Evaluación de riesgos y cálculo de seguros con bases estadísticas.",Finanzas y Seguros,Presencial,30,2025-08-01,20,1600
PSTMAT006,Becario en matemática aplicada,"Colaboración en desarrollo de algoritmos matemáticos para problemas reales.",Ciencia de Datos,Híbrido,25,2025-09-01,24,1500
PSTMAT007,Desarrollador de contenido educativo en matemáticas,"Creación de ejercicios y videos interactivos para plataformas educativas.",Tecnología Educativa,Remoto,15,2025-07-28,10,900
PSTMAT008,Analista de series temporales,"Evaluación de datos cronológicos para predicciones financieras y científicas.",Ciencia de Datos,Remoto,20,2025-08-20,16,1350
PSTMAT009,Consultor en métodos numéricos,"Apoyo en implementación de métodos computacionales para simulaciones.",Ingeniería y Simulación,Híbrido,20,2025-08-05,18,1450
PSTMAT010,Apoyo en investigación de criptografía matemática,"Estudio de algoritmos criptográficos y teoría de números aplicada.",Ciberseguridad,Remoto,20,2025-08-12,20,1400
PSTBIO001,Asistente de laboratorio de biología molecular,"Manejo de muestras, extracción de ADN y PCR.",Investigación y Desarrollo,Presencial,20,2025-08-01,16,1200
PSTBIO002,Auxiliar en proyectos de biodiversidad,"Recojo de muestras en campo y análisis de especies.",Medio Ambiente,Híbrido,25,2025-08-10,20,1250
PSTBIO003,Investigador en microbiología básica,"Apoyo en cultivo de bacterias y observación al microscopio.",Biotecnología,Presencial,20,2025-08-15,12,1300
PSTBIO004,Divulgador científico en biología,"Redacción y difusión de contenido sobre biología celular y ecología.",Comunicación Científica,Remoto,15,2025-07-25,8,800
PSTBIO005,Técnico asistente en genética,"Colaboración en estudios genéticos con herramientas de bioinformática.",Genética,Híbrido,25,2025-08-20,20,1400
PSTBIO006,Apoyo en monitoreo de ecosistemas,"Participación en estudios de fauna y flora en reservas naturales.",Ecología y Conservación,Presencial,30,2025-09-01,24,1350
PSTBIO007,Auxiliar en laboratorio clínico biológico,"Procesamiento de muestras humanas para análisis clínicos.",Salud y Medicina,Presencial,20,2025-08-18,16,1200
